movie_id,title,Director,Top Two Actors,release_date
36647,Blade,Stephen Norrington,"['Wesley Snipes', 'Stephen Dorff']",1998-08-21
7214,Coach Carter,Thomas Carter,"['Samuel L. Jackson', 'Rob Brown']",2005-01-14
1537,Changing Lanes,Roger Michell,"['Ben Affleck', 'Samuel L. Jackson']",2002-04-07
9360,Anaconda,Luis Llosa,"['Jennifer Lopez', 'Ice Cube']",1997-04-11
6282,Coyote Ugly,David McNally,"['Piper Perabo', 'Adam Garcia']",2000-07-30
508,Love Actually,Richard Curtis,"['Keira Knightley', 'Heike Makatsch']",2003-09-07
9487,A Bug's Life,Andrew Stanton,"['Kevin Spacey', 'Julia Louis-Dreyfus']",1998-11-25
768,From Hell,Albert Hughes,"['Johnny Depp', 'Heather Graham']",2001-10-19
2636,The Specialist,Luis Llosa,"['Sylvester Stallone', 'Sharon Stone']",1994-10-07
10478,Tin Cup,Ron Shelton,"['Kevin Costner', 'Don Johnson']",1996-08-16
27983,"Yours, Mine and Ours",Melville Shavelson,"['Lucille Ball', 'Henry Fonda']",1968-04-24
9981,Kicking & Screaming,Jesse Dylan,"['Will Ferrell', 'Robert Duvall']",2005-05-13
7453,The Hitchhiker's Guide to the Galaxy,Garth Jennings,"['Martin Freeman', 'Zooey Deschanel']",2005-01-15
15045,Fat Albert,Joel Zwick,"['Kenan Thompson', 'Shedrack Anderson III']",2004-12-12
7737,Resident Evil: Extinction,Russell Mulcahy,"['Milla Jovovich', 'Oded Fehr']",2007-09-20
232672,Blended,Frank Coraci,"['Drew Barrymore', 'Adam Sandler']",2014-05-21
17379,Last Holiday,Wayne Wang,"['Queen Latifah', 'LL Cool J']",2006-01-13
8987,The River Wild,Curtis Hanson,"['Meryl Streep', 'David Strathairn']",1994-09-30
11359,The Indian in the Cupboard,Frank Oz,"['Hal Scardino', 'Litefoot']",1995-07-14
82525,Savages,Oliver Stone,"['Blake Lively', 'Taylor Kitsch']",2012-07-06
9759,Cellular,David R. Ellis,"['Chris Evans', 'Kim Basinger']",2004-09-06
9486,Johnny English,Peter Howitt,"['Rowan Atkinson', 'John Malkovich']",2003-04-06
9906,The Ant Bully,John A. Davis,"['Julia Roberts', 'Meryl Streep']",2006-07-27
841,Dune,David Lynch,"['Kyle MacLachlan', 'Francesca Annis']",1984-12-14
4688,Across the Universe,Julie Taymor,"['Evan Rachel Wood', 'Jim Sturgess']",2007-09-14
4148,Revolutionary Road,Sam Mendes,"['Leonardo DiCaprio', 'Kate Winslet']",2008-12-19
2207,16 Blocks,Richard Donner,"['Bruce Willis', 'Yasiin Bey']",2006-03-01
9381,Babylon A.D.,Mathieu Kassovitz,"['Vin Diesel', 'Michelle Yeoh']",2008-08-20
9625,The Glimmer Man,John Gray,"['Steven Seagal', 'Keenen Ivory Wayans']",1996-10-04
9304,Multiplicity,Harold Ramis,"['Michael Keaton', 'Andie MacDowell']",1996-07-19
20856,Aliens in the Attic,John Schultz,"['Carter Jenkins', 'Austin Butler']",2009-07-31
5955,The Pledge,Sean Penn,"['Jack Nicholson', 'Aaron Eckhart']",2001-01-09
9899,The Producers,Susan Stroman,"['Matthew Broderick', 'Uma Thurman']",2005-12-25
9826,The Phantom,Simon Wincer,"['Billy Zane', 'Kristy Swanson']",1996-06-06
21355,All the Pretty Horses,Billy Bob Thornton,"['Matt Damon', 'Henry Thomas']",2000-12-11
10858,Nixon,Oliver Stone,"['Anthony Hopkins', 'Joan Allen']",1995-12-22
11439,The Ghost Writer,Roman Polanski,"['Ewan McGregor', 'Pierce Brosnan']",2010-02-12
9457,Deep Rising,Stephen Sommers,"['Treat Williams', 'Famke Janssen']",1998-01-30
12412,Miracle at St. Anna,Spike Lee,"['Derek Luke', 'Michael Ealy']",2008-09-15
1494,Curse of the Golden Flower,Zhang Yimou,"['Chow Yun-fat', 'Gong Li']",2006-12-21
13184,Bangkok Dangerous,Danny Pang,"['Nicolas Cage', 'Shahkrit Yamnarm']",2008-08-21
2185,Big Trouble,Barry Sonnenfeld,"['Tim Allen', 'Rene Russo']",2002-04-05
6639,Love in the Time of Cholera,Mike Newell,"['Javier Bardem', 'Unax Ugalde']",2007-10-04
38153,Shadow Conspiracy,George P. Cosmatos,"['Charlie Sheen', 'Donald Sutherland']",1997-01-31
58233,Johnny English Reborn,Oliver Parker,"['Rowan Atkinson', 'Dominic West']",2011-09-15
116977,Foodfight!,Lawrence Kasanoff,"['Charlie Sheen', 'Wayne Brady']",2012-06-15
68734,Argo,Ben Affleck,"['Ben Affleck', 'Bryan Cranston']",2012-10-11
5503,The Fugitive,Andrew Davis,"['Harrison Ford', 'Tommy Lee Jones']",1993-08-06
27573,The Bounty Hunter,Andy Tennant,"['Gerard Butler', 'Jennifer Aniston']",2010-03-16
819,Sleepers,Barry Levinson,"['Robert De Niro', 'Brad Pitt']",1996-10-18
1369,Rambo: First Blood Part II,George P. Cosmatos,"['Sylvester Stallone', 'Richard Crenna']",1985-05-21
9623,The Juror,Brian Gibson,"['Demi Moore', 'Alec Baldwin']",1996-02-02
10895,Pinocchio,Ben Sharpsteen,"['Mel Blanc', 'Don Brodie']",1940-02-23
10935,Heaven's Gate,Michael Cimino,"['Kris Kristofferson', 'Christopher Walken']",1980-11-19
834,Underworld: Evolution,Len Wiseman,"['Kate Beckinsale', 'Scott Speedman']",2006-01-12
228066,Victor Frankenstein,Paul McGuigan,"['James McAvoy', 'Daniel Radcliffe']",2015-11-10
711,Finding Forrester,Gus Van Sant,"['Sean Connery', 'Rob Brown']",2000-12-21
10468,28 Days,Betty Thomas,"['Sandra Bullock', 'Viggo Mortensen']",2000-04-06
10027,Unleashed,Louis Leterrier,"['Jet Li', 'Morgan Freeman']",2005-02-02
11812,The Sweetest Thing,Roger Kumble,"['Cameron Diaz', 'Christina Applegate']",2002-04-12
37233,The Firm,Sydney Pollack,"['Tom Cruise', 'Jeanne Tripplehorn']",1993-06-30
37950,Charlie St. Cloud,Burr Steers,"['Zac Efron', 'Amanda Crew']",2010-05-01
27582,The Mechanic,Simon West,"['Jason Statham', 'Ben Foster']",2011-01-13
64688,21 Jump Street,Phil Lord,"['Channing Tatum', 'Jonah Hill']",2012-03-12
509,Notting Hill,Roger Michell,"['Julia Roberts', 'Hugh Grant']",1999-05-13
7443,Chicken Run,Nick Park,"['Mel Gibson', 'Miranda Richardson']",2000-06-21
5966,Along Came Polly,John Hamburg,"['Ben Stiller', 'Jennifer Aniston']",2004-01-16
11066,Boomerang,Reginald Hudlin,"['Eddie Murphy', 'Robin Givens']",1992-06-30
136795,The Heat,Paul Feig,"['Sandra Bullock', 'Melissa McCarthy']",2013-06-27
8095,Cleopatra,Joseph L. Mankiewicz,"['Elizabeth Taylor', 'Richard Burton']",1963-06-12
87826,Here Comes the Boom,Frank Coraci,"['Salma Hayek', 'Kevin James']",2012-10-11
11560,High Crimes,Carl Franklin,"['Ashley Judd', 'Morgan Freeman']",2002-04-03
25189,The Mirror Has Two Faces,Barbra Streisand,"['Barbra Streisand', 'Jeff Bridges']",1996-11-15
2637,The Mothman Prophecies,Mark Pellington,"['Richard Gere', 'Laura Linney']",2002-01-25
18480,Brüno,Larry Charles,"['Sacha Baron Cohen', 'Richard Bey']",2009-07-08
709,Licence to Kill,John Glen,"['Timothy Dalton', 'Carey Lowell']",1989-07-07
49730,Red Riding Hood,Catherine Hardwicke,"['Amanda Seyfried', 'Gary Oldman']",2011-03-11
2749,15 Minutes,John Herzfeld,"['Robert De Niro', 'Charlize Theron']",2001-03-01
9607,Super Mario Bros.,Annabel Jankel,"['Bob Hoskins', 'John Leguizamo']",1993-05-28
1830,Lord of War,Andrew Niccol,"['Nicolas Cage', 'Bridget Moynahan']",2005-09-16
79,Hero,Zhang Yimou,"['Jet Li', 'Tony Leung Chiu-Wai']",2002-12-19
54054,One for the Money,Julie Anne Robinson,"['Katherine Heigl', ""Jason O'Mara""]",2012-01-26
228967,The Interview,Seth Rogen,"['James Franco', 'Seth Rogen']",2014-12-25
46528,The Warrior's Way,Sngmoo Lee,"['Kate Bosworth', 'Jang Dong-gun']",2010-12-02
27936,Micmacs,Jean-Pierre Jeunet,"['Dany Boon', 'Dominique Pinon']",2009-10-28
65,8 Mile,Curtis Hanson,"['Eminem', 'Mekhi Phifer']",2002-11-08
280391,Why I Did (Not) Eat My Father,Jamel Debbouze,"['Jamel Debbouze', 'Arié Elmaleh']",2015-04-08
9476,A Knight's Tale,Brian Helgeland,"['Heath Ledger', 'Rufus Sewell']",2001-05-11
10610,The Medallion,Gordon Chan,"['Jackie Chan', 'Lee Evans']",2003-08-15
745,The Sixth Sense,M. Night Shyamalan,"['Bruce Willis', 'Toni Collette']",1999-08-06
49527,Man on a Ledge,Asger Leth,"['Sam Worthington', 'Elizabeth Banks']",2012-01-13
73937,The Big Year,David Frankel,"['Owen Wilson', 'Steve Martin']",2011-10-13
1885,The Karate Kid,John G. Avildsen,"['Ralph Macchio', 'Pat Morita']",1984-06-22
168672,American Hustle,David O. Russell,"['Christian Bale', 'Bradley Cooper']",2013-12-12
18240,The Proposal,Anne Fletcher,"['Sandra Bullock', 'Ryan Reynolds']",2009-06-01
10398,Double Jeopardy,Bruce Beresford,"['Tommy Lee Jones', 'Ashley Judd']",1999-09-24
165,Back to the Future Part II,Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd']",1989-11-20
240832,Lucy,Luc Besson,"['Scarlett Johansson', 'Morgan Freeman']",2014-07-14
216015,Fifty Shades of Grey,Sam Taylor-Johnson,"['Dakota Johnson', 'Jamie Dornan']",2015-02-11
12279,Spy Kids 3-D: Game Over,Robert Rodriguez,"['Antonio Banderas', 'Carla Gugino']",2003-07-25
1645,A Time to Kill,Joel Schumacher,"['Matthew McConaughey', 'Sandra Bullock']",1996-07-24
11007,Cheaper by the Dozen,Shawn Levy,"['Steve Martin', 'Bonnie Hunt']",2003-12-24
193756,Lone Survivor,Peter Berg,"['Mark Wahlberg', 'Taylor Kitsch']",2013-12-24
11287,A League of Their Own,Penny Marshall,"['Tom Hanks', 'Geena Davis']",1992-07-01
259693,The Conjuring 2,James Wan,"['Patrick Wilson', 'Vera Farmiga']",2016-05-13
37799,The Social Network,David Fincher,"['Jesse Eisenberg', 'Andrew Garfield']",2010-09-30
10184,He's Just Not That Into You,Ken Kwapis,"['Ben Affleck', 'Jennifer Aniston']",2009-02-06
4257,Scary Movie 4,David Zucker,"['Anna Faris', 'Regina Hall']",2006-04-13
4234,Scream 3,Wes Craven,"['David Arquette', 'Neve Campbell']",2000-02-03
196,Back to the Future Part III,Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd']",1990-05-25
257091,Get Hard,Etan Cohen,"['Will Ferrell', 'Kevin Hart']",2015-03-26
6114,Dracula,Francis Ford Coppola,"['Gary Oldman', 'Winona Ryder']",1992-11-13
24803,Julie & Julia,Nora Ephron,"['Meryl Streep', 'Amy Adams']",2009-08-06
109410,42,Brian Helgeland,"['Chadwick Boseman', 'T.R. Knight']",2013-04-12
1213,The Talented Mr. Ripley,Anthony Minghella,"['Matt Damon', 'Gwyneth Paltrow']",1999-12-25
100042,Dumb and Dumber To,Bobby Farrelly,"['Jim Carrey', 'Jeff Daniels']",2014-11-12
9036,Eight Below,Frank Marshall,"['Paul Walker', 'Bruce Greenwood']",2006-02-17
257211,The Intern,Nancy Meyers,"['Robert De Niro', 'Anne Hathaway']",2015-09-24
323675,Ride Along 2,Tim Story,"['Kevin Hart', 'Ice Cube']",2016-01-14
9361,The Last of the Mohicans,Michael Mann,"['Daniel Day-Lewis', 'Madeleine Stowe']",1992-09-25
1677,Ray,Taylor Hackford,"['Jamie Foxx', 'Kerry Washington']",2004-10-29
187,Sin City,Robert Rodriguez,"['Jessica Alba', 'Devon Aoki']",2005-04-01
7461,Vantage Point,Pete Travis,"['Dennis Quaid', 'Matthew Fox']",2008-02-01
16538,"I Love You, Man",John Hamburg,"['Paul Rudd', 'Jason Segel']",2009-03-20
9889,Shallow Hal,Bobby Farrelly,"['Gwyneth Paltrow', 'Jack Black']",2001-11-01
820,JFK,Oliver Stone,"['Kevin Costner', 'Tommy Lee Jones']",1991-12-20
11565,Big Momma's House 2,John Whitesell,"['Martin Lawrence', 'Nia Long']",2006-01-26
6073,The Mexican,Gore Verbinski,"['Brad Pitt', 'Julia Roberts']",2001-03-01
16996,17 Again,Burr Steers,"['Zac Efron', 'Leslie Mann']",2009-03-11
193610,The Other Woman,Nick Cassavetes,"['Cameron Diaz', 'Leslie Mann']",2014-04-16
19912,The Final Destination,David R. Ellis,"['Bobby Campo', 'Shantel VanSanten']",2009-08-26
296098,Bridge of Spies,Steven Spielberg,"['Tom Hanks', 'Mark Rylance']",2015-10-15
8007,Behind Enemy Lines,John Moore,"['Owen Wilson', 'Gene Hackman']",2001-11-17
32823,Get Him to the Greek,Nicholas Stoller,"['Jonah Hill', 'Russell Brand']",2010-06-04
4380,Shall We Dance?,Peter Chelsom,"['Richard Gere', 'Jennifer Lopez']",2004-10-15
11551,Small Soldiers,Joe Dante,"['Gregory Smith', 'Kirsten Dunst']",1998-07-10
10336,Spawn,Mark A.Z. Dippé,"['Michael Jai White', 'Martin Sheen']",1997-07-31
11362,The Count of Monte Cristo,Kevin Reynolds,"['Jim Caviezel', 'Guy Pearce']",2002-01-23
50348,The Lincoln Lawyer,Brad Furman,"['Matthew McConaughey', 'Marisa Tomei']",2011-03-17
48138,Unknown,Jaume Collet-Serra,"['Liam Neeson', 'Diane Kruger']",2011-02-16
1124,The Prestige,Christopher Nolan,"['Hugh Jackman', 'Christian Bale']",2006-10-19
227159,Horrible Bosses 2,Sean Anders,"['Jason Bateman', 'Jason Sudeikis']",2014-11-26
68179,Escape from Planet Earth,Callan Brunker,"['Brendan Fraser', 'Rob Corddry']",2013-02-14
1579,Apocalypto,Mel Gibson,"['Rudy Youngblood', 'Raoul Max Trujillo']",2006-12-07
708,The Living Daylights,John Glen,"['Timothy Dalton', ""Maryam d'Abo""]",1987-06-29
34851,Predators,Nimród Antal,"['Topher Grace', 'Alice Braga']",2010-07-03
9930,Legal Eagles,Ivan Reitman,"['Robert Redford', 'Debra Winger']",1986-06-18
1586,Secret Window,David Koepp,"['Johnny Depp', 'John Turturro']",2004-03-12
2044,The Lake House,Alejandro Agresti,"['Keanu Reeves', 'Sandra Bullock']",2006-06-16
9913,The Skeleton Key,Iain Softley,"['Kate Hudson', 'Gena Rowlands']",2005-07-29
71864,The Odd Life of Timothy Green,Peter Hedges,"['Jennifer Garner', 'Joel Edgerton']",2012-08-15
10761,Made of Honor,Paul Weiland,"['Patrick Dempsey', 'Michelle Monaghan']",2008-05-02
209451,Jersey Boys,Clint Eastwood,"['Christopher Walken', 'Vincent Piazza']",2014-06-05
11975,The Rainmaker,Francis Ford Coppola,"['Matt Damon', 'Danny DeVito']",1997-11-18
4970,Gothika,Mathieu Kassovitz,"['Halle Berry', 'Robert Downey Jr.']",2003-11-21
11831,Amistad,Steven Spielberg,"['Morgan Freeman', 'Nigel Hawthorne']",1997-12-03
9096,Medicine Man,John McTiernan,"['Sean Connery', 'Lorraine Bracco']",1992-02-07
440,Aliens vs Predator: Requiem,Colin Strause,"['Steven Pasquale', 'Reiko Aylesworth']",2007-12-25
11011,Ri¢hie Ri¢h,Donald Petrie,"['Macaulay Culkin', 'John Larroquette']",1994-12-19
10641,Autumn in New York,Joan Chen,"['Richard Gere', 'Winona Ryder']",2000-08-11
11172,Music and Lyrics,Marc Lawrence,"['Drew Barrymore', 'Hugh Grant']",2007-02-09
39513,Paul,Greg Mottola,"['Seth Rogen', 'Simon Pegg']",2011-02-14
82687,The Guilt Trip,Anne Fletcher,"['Seth Rogen', 'Barbra Streisand']",2012-12-19
41446,Scream 4,Wes Craven,"['David Arquette', 'Neve Campbell']",2011-04-11
8224,8MM,Joel Schumacher,"['Nicolas Cage', 'Joaquin Phoenix']",1999-02-26
10537,The Doors,Oliver Stone,"['Val Kilmer', 'Meg Ryan']",1991-03-01
225886,Sex Tape,Jake Kasdan,"['Cameron Diaz', 'Jason Segel']",2014-07-17
10385,Hanging Up,Diane Keaton,"['Meg Ryan', 'Diane Keaton']",2000-02-16
55779,Final Destination 5,Steven Quale,"['Emma Bell', ""Nicholas D'Agosto""]",2011-08-12
10154,Mickey Blue Eyes,Kelly Makin,"['Hugh Grant', 'James Caan']",1999-08-16
10647,Pay It Forward,Mimi Leder,"['Kevin Spacey', 'Helen Hunt']",2000-10-12
11431,Fever Pitch,Bobby Farrelly,"['Drew Barrymore', 'Jimmy Fallon']",2005-04-06
8457,Drillbit Taylor,Steven Brill,"['Owen Wilson', 'Leslie Mann']",2008-03-20
188161,A Million Ways to Die in the West,Seth MacFarlane,"['Seth MacFarlane', 'Charlize Theron']",2014-05-22
8850,The Shadow,Russell Mulcahy,"['Alec Baldwin', 'John Lone']",1994-07-01
64685,Extremely Loud & Incredibly Close,Stephen Daldry,"['Thomas Horn', 'Tom Hanks']",2011-12-24
38357,Morning Glory,Roger Michell,"['Rachel McAdams', 'Harrison Ford']",2010-01-12
10060,Get Rich or Die Tryin',Jim Sheridan,"['50 Cent', 'Joy Bryant']",2005-11-09
11398,The Art of War,Christian Duguay,"['Wesley Snipes', 'Donald Sutherland']",2000-08-23
1833,Rent,Chris Columbus,"['Anthony Rapp', 'Adam Pascal']",2005-11-23
10391,Bless the Child,Chuck Russell,"['Kim Basinger', 'Angela Bettis']",2000-08-11
8970,The Out-of-Towners,Sam Weisman,"['Steve Martin', 'Goldie Hawn']",1999-04-02
9306,The Island of Dr. Moreau,John Frankenheimer,"['Marlon Brando', 'Val Kilmer']",1996-08-23
11370,The Musketeer,Peter Hyams,"['Catherine Deneuve', 'Mena Suvari']",2001-09-07
12184,The Other Boleyn Girl,Justin Chadwick,"['Natalie Portman', 'Scarlett Johansson']",2008-02-28
1921,Sweet November,Pat O'Connor,"['Keanu Reeves', 'Charlize Theron']",2001-02-16
1683,The Reaping,Stephen Hopkins,"['Hilary Swank', 'David Morrissey']",2007-04-05
203,Mean Streets,Martin Scorsese,"['Harvey Keitel', 'Robert De Niro']",1973-10-02
11858,Renaissance Man,Penny Marshall,"['Danny DeVito', 'Mark Wahlberg']",1994-06-03
62835,Colombiana,Olivier Megaton,"['Zoe Saldana', 'Cliff Curtis']",2011-07-27
18937,Quest for Camelot,Frederik Du Chau,"['Jessalyn Gilsig', 'Cary Elwes']",1998-05-15
13536,City By The Sea,Michael Caton-Jones,"['Robert De Niro', 'James Franco']",2002-09-06
15556,At First Sight,Irwin Winkler,"['Val Kilmer', 'Mira Sorvino']",1999-01-15
10718,Torque,Joseph Kahn,"['Martin Henderson', 'Ice Cube']",2004-01-16
11062,City Hall,Harold Becker,"['Al Pacino', 'John Cusack']",1996-02-16
10802,Showgirls,Paul Verhoeven,"['Elizabeth Berkley', 'Kyle MacLachlan']",1995-09-22
1887,Marie Antoinette,Sofia Coppola,"['Kirsten Dunst', 'Jason Schwartzman']",2006-05-24
6071,Kiss of Death,Barbet Schroeder,"['David Caruso', 'Samuel L. Jackson']",1995-04-21
10461,Get Carter,Stephen T. Kay,"['Sylvester Stallone', 'Miranda Richardson']",2000-10-06
80278,The Impossible,Juan Antonio Bayona,"['Naomi Watts', 'Ewan McGregor']",2012-09-09
12704,Ishtar,Elaine May,"['Warren Beatty', 'Dustin Hoffman']",1987-05-15
10315,Fantastic Mr. Fox,Wes Anderson,"['George Clooney', 'Meryl Streep']",2009-10-23
16643,Life or Something Like It,Stephen Herek,"['Angelina Jolie', 'Edward Burns']",2002-04-26
2687,Memoirs of an Invisible Man,John Carpenter,"['Chevy Chase', 'Daryl Hannah']",1992-02-28
194,Amélie,Jean-Pierre Jeunet,"['Audrey Tautou', 'Mathieu Kassovitz']",2001-04-25
11025,New York Minute,Dennie Gordon,"['Ashley Olsen', 'Mary-Kate Olsen']",2004-05-01
8849,Alfie,Charles Shyer,"['Jude Law', 'Marisa Tomei']",2004-10-22
78698,Big Miracle,Ken Kwapis,"['Drew Barrymore', 'John Krasinski']",2012-02-02
30943,The Deep End of the Ocean,Ulu Grosbard,"['Michelle Pfeiffer', 'Treat Williams']",1999-03-12
9544,FearDotCom,William Malone,"['Stephen Dorff', 'Natascha McElhone']",2002-08-09
24418,Cirque du Freak: The Vampire's Assistant,Paul Weitz,"['John C. Reilly', 'Josh Hutcherson']",2009-10-23
7288,Duplex,Danny DeVito,"['Ben Stiller', 'Drew Barrymore']",2003-09-26
14655,Soul Men,Malcolm D. Lee,"['Samuel L. Jackson', 'Bernie Mac']",2008-11-07
24575,Raise the Titanic,Jerry Jameson,"['M. Emmet Walsh', 'Richard Jordan']",1980-01-01
10366,Universal Soldier: The Return,Mic Rodgers,"['Jean-Claude Van Damme', 'Kiana Tom']",1999-08-05
19898,Pandorum,Christian Alvart,"['Ben Foster', 'Dennis Quaid']",2009-09-08
4965,Impostor,Gary Fleder,"['Gary Sinise', 'Madeleine Stowe']",2001-12-03
15074,Extreme Ops,Christian Duguay,"['Devon Sawa', 'Bridgette Wilson']",2002-11-27
56715,Just Visiting,Jean-Marie Poiré,"['Jean Reno', 'Christina Applegate']",2001-04-06
1272,Sunshine,Danny Boyle,"['Cillian Murphy', 'Rose Byrne']",2007-04-05
72358,A Thousand Words,Brian Robbins,"['Eddie Murphy', 'Allison Janney']",2012-03-07
20542,Delgo,Marc F. Adler,"['Freddie Prinze Jr.', 'Jennifer Love Hewitt']",2008-12-12
266396,The Gunman,Pierre Morel,"['Sean Penn', 'Jasmine Trinca']",2015-02-16
9978,Stormbreaker,Geoffrey Sax,"['Alex Pettyfer', 'Sarah Bolger']",2006-07-21
8271,Disturbia,D.J. Caruso,"['Shia LaBeouf', 'Sarah Roemer']",2007-04-12
10428,Hackers,Iain Softley,"['Jonny Lee Miller', 'Angelina Jolie']",1995-09-14
5353,The Hunting Party,Richard Shepard,"['Richard Gere', 'Terrence Howard']",2007-09-03
11934,The Hudsucker Proxy,Joel Coen,"['Tim Robbins', 'Jennifer Jason Leigh']",1994-03-11
14392,The Warlords,Peter Chan,"['Jet Li', 'Andy Lau']",2007-12-12
19495,Nomad: The Warrior,Sergei Bodrov Jr.,"['Kuno Becker', 'Jay Hernandez']",2005-07-17
110415,Snowpiercer,Bong Joon-ho,"['Chris Evans', 'Song Kang-ho']",2013-08-01
77459,A Monster in Paris,Bibo Bergeron,"['Vanessa Paradis', 'Mathieu Chedid']",2011-10-12
26486,The Last Shot,Jeff Nathanson,"['Matthew Broderick', 'Alec Baldwin']",2004-09-24
9495,The Crow,Alex Proyas,"['Brandon Lee', 'Rochelle Davis']",1994-05-11
256040,Baahubali: The Beginning,S.S. Rajamouli,"['Prabhas', 'Rana Daggubati']",2015-07-10
24420,The Time Traveler's Wife,Robert Schwentke,"['Eric Bana', 'Rachel McAdams']",2009-08-14
1257,Because I Said So,Michael Lehmann,"['Diane Keaton', 'Mandy Moore']",2007-02-02
62214,Frankenweenie,Tim Burton,"['Charlie Tahan', ""Catherine O'Hara""]",2012-10-04
16320,Serenity,Joss Whedon,"['Nathan Fillion', 'Gina Torres']",2005-08-25
8842,Against the Ropes,Charles S. Dutton,"['Meg Ryan', 'Tony Shalhoub']",2004-02-20
9531,Superman III,Richard Lester,"['Christopher Reeve', 'Richard Pryor']",1983-06-17
64807,Grudge Match,Peter Segal,"['Robert De Niro', 'Sylvester Stallone']",2013-12-25
12289,Red Cliff,John Woo,"['Chang Chen', 'Hu Jun']",2008-07-10
11529,Sweet Home Alabama,Andy Tennant,"['Reese Witherspoon', 'Josh Lucas']",2002-09-26
20943,The Ugly Truth,Robert Luketic,"['Katherine Heigl', 'Gerard Butler']",2009-07-24
9099,Sgt. Bilko,Jonathan Lynn,"['Steve Martin', 'Dan Aykroyd']",1996-03-29
9488,Spy Kids 2: The Island of Lost Dreams,Robert Rodriguez,"['Antonio Banderas', 'Carla Gugino']",2002-08-07
193,Star Trek: Generations,David Carson,"['Patrick Stewart', 'Jonathan Frakes']",1994-11-17
44865,The Grandmaster,Wong Kar-wai,"['Tony Leung Chiu-Wai', 'Zhang Ziyi']",2013-01-08
55787,Water for Elephants,Francis Lawrence,"['Robert Pattinson', 'Reese Witherspoon']",2011-03-15
257932,Dragon Nest: Warriors' Dawn,Yuefeng Song,"['Carrie-Anne Moss', 'Lucas Grabeel']",2014-05-20
10400,The Hurricane,Norman Jewison,"['Denzel Washington', 'Vicellous Reon Shannon']",1999-09-17
1957,Enough,Michael Apted,"['Jennifer Lopez', 'Billy Campbell']",2002-05-24
10833,Heartbreakers,David Mirkin,"['Sigourney Weaver', 'Jennifer Love Hewitt']",2001-03-23
256961,Paul Blart: Mall Cop 2,Andy Fickman,"['Kevin James', 'Raini Rodriguez']",2015-04-16
5852,Angel Eyes,Luis Mandoki,"['Jennifer Lopez', 'Jim Caviezel']",2001-05-15
12312,Joe Somebody,John Pasquin,"['Tim Allen', 'Julie Bowen']",2001-12-21
622,The Ninth Gate,Roman Polanski,"['Johnny Depp', 'Frank Langella']",1999-08-24
11306,Extreme Measures,Michael Apted,"['Hugh Grant', 'Gene Hackman']",1996-09-27
12508,Rock Star,Stephen Herek,"['Mark Wahlberg', 'Jennifer Aniston']",2001-09-04
25793,Precious,Lee Daniels,"['Gabourey Sidibe', ""Mo'Nique""]",2009-11-06
10534,White Squall,Ridley Scott,"['Jeff Bridges', 'Caroline Goodall']",1996-02-02
1091,The Thing,John Carpenter,"['Kurt Russell', 'Keith David']",1982-06-25
87421,Riddick,David Twohy,"['Vin Diesel', 'Karl Urban']",2013-09-02
10871,Switchback,Jeb Stuart,"['Dennis Quaid', 'Danny Glover']",1997-10-31
13503,Texas Rangers,Steve Miner,"['James Van Der Beek', 'Rachael Leigh Cook']",2001-11-30
13600,City of Ember,Gil Kenan,"['Saoirse Ronan', 'Harry Treadaway']",2008-10-07
68722,The Master,Paul Thomas Anderson,"['Joaquin Phoenix', 'Philip Seymour Hoffman']",2012-09-07
14324,Virgin Territory,David Leland,"['Ryan Cartwright', 'Hayden Christensen']",2007-12-17
14325,The Express,Gary Fleder,"['Rob Brown', 'Dennis Quaid']",2008-10-10
299687,The 5th Wave,J Blakeson,"['Chloë Grace Moretz', 'Nick Robinson']",2016-01-14
312221,Creed,Ryan Coogler,"['Michael B. Jordan', 'Sylvester Stallone']",2015-11-25
23168,The Town,Ben Affleck,"['Ben Affleck', 'Rebecca Hall']",2010-09-15
76494,What to Expect When You're Expecting,Kirk Jones,"['Cameron Diaz', 'Jennifer Lopez']",2012-05-17
4944,Burn After Reading,Joel Coen,"['George Clooney', 'Frances McDormand']",2008-09-05
10488,Nim's Island,Jennifer Flackett,"['Abigail Breslin', 'Jodie Foster']",2008-04-03
96721,Rush,Ron Howard,"['Daniel Brühl', 'Chris Hemsworth']",2013-09-02
334,Magnolia,Paul Thomas Anderson,"['Julianne Moore', 'William H. Macy']",1999-12-08
23742,Cop Out,Kevin Smith,"['Bruce Willis', 'Tracy Morgan']",2010-02-26
259694,How to Be Single,Christian Ditter,"['Dakota Johnson', 'Rebel Wilson']",2016-01-21
62837,Dolphin Tale,Charles Martin Smith,"['Morgan Freeman', 'Ashley Judd']",2011-09-23
8966,Twilight,Catherine Hardwicke,"['Kristen Stewart', 'Robert Pattinson']",2008-11-20
8470,John Q,Nick Cassavetes,"['Denzel Washington', 'Robert Duvall']",2002-02-15
11001,Blue Streak,Les Mayfield,"['Martin Lawrence', 'Luke Wilson']",1999-09-17
138832,We're the Millers,Rawson Marshall Thurber,"['Jason Sudeikis', 'Jennifer Aniston']",2013-08-07
16911,The Inhabited Island,Fyodor Bondarchuk,"['Vasily Stepanov', 'Pyotr Fyodorov']",2008-12-18
2163,Breakdown,Jonathan Mostow,"['Kurt Russell', 'J. T. Walsh']",1997-05-02
